county_name,longitude,latitude,county
Ocean,21.7,57.6,-1
Ocean,21.7,57.9,-1
Ocean,21.7,58.2,-1
Ocean,21.7,58.50000000000000,-1
Ocean,21.7,58.80000000000000,-1
Ocean,21.7,59.10000000000000,-1
Ocean,21.7,59.400000000000000,-1
Ocean,21.7,59.70000000000000,-1
Ocean,22.2,57.6,-1
Ocean,22.2,57.9,-1
Saaremaa,22.2,58.2,10
Saaremaa,22.2,58.50000000000000,10
Ocean,22.2,58.80000000000000,-1
Ocean,22.2,59.10000000000000,-1
Ocean,22.2,59.400000000000000,-1
Ocean,22.2,59.70000000000000,-1
Ocean,22.7,57.6,-1
Ocean,22.7,57.9,-1
Ocean,22.7,58.2,-1
Saaremaa,22.7,58.50000000000000,10
Hiiumaa,22.7,58.80000000000000,1
Ocean,22.7,59.10000000000000,-1
Ocean,22.7,59.400000000000000,-1
Ocean,22.7,59.70000000000000,-1
Ocean,23.2,57.6,-1
Ocean,23.2,57.9,-1
Ocean,23.2,58.2,-1
Saaremaa,23.2,58.50000000000000,10
Ocean,23.2,58.80000000000000,-1
Ocean,23.2,59.10000000000000,-1
Ocean,23.2,59.400000000000000,-1
Ocean,23.2,59.70000000000000,-1
Ocean,23.7,57.6,-1
Ocean,23.7,57.9,-1
Ocean,23.7,58.2,-1
Pärnumaa,23.7,58.50000000000000,7
Läänemaa,23.7,58.80000000000000,6
Läänemaa,23.7,59.10000000000000,6
Ocean,23.7,59.400000000000000,-1
Ocean,23.7,59.70000000000000,-1
Ocean,24.2,57.6,-1
Ocean,24.2,57.9,-1
Ocean,24.2,58.2,-1
Pärnumaa,24.2,58.50000000000000,7
Raplamaa,24.2,58.80000000000000,9
Harjumaa,24.2,59.10000000000000,0
Harjumaa,24.2,59.400000000000000,0
Ocean,24.2,59.70000000000000,-1
Ocean,24.7,57.6,-1
Ocean,24.7,57.9,-1
Pärnumaa,24.7,58.2,7
Pärnumaa,24.7,58.50000000000000,7
Raplamaa,24.7,58.80000000000000,9
Raplamaa,24.7,59.10000000000000,9
Harjumaa,24.7,59.400000000000000,0
Ocean,24.7,59.70000000000000,-1
Ocean,25.2,57.6,-1
Ocean,25.2,57.9,-1
Pärnumaa,25.2,58.2,7
Viljandimaa,25.2,58.50000000000000,14
Järvamaa,25.2,58.80000000000000,3
Harjumaa,25.2,59.10000000000000,0
Harjumaa,25.2,59.400000000000000,0
Ocean,25.2,59.70000000000000,-1
Ocean,25.7,57.6,-1
Ocean,25.7,57.9,-1
Viljandimaa,25.7,58.2,14
Viljandimaa,25.7,58.50000000000000,14
Järvamaa,25.7,58.80000000000000,3
Järvamaa,25.7,59.10000000000000,3
Harjumaa,25.7,59.400000000000000,0
Ocean,25.7,59.70000000000000,-1
Ocean,26.2,57.6,-1
Valgamaa,26.2,57.9,13
Tartumaa,26.2,58.2,11
Jõgevamaa,26.2,58.50000000000000,4
Jõgevamaa,26.2,58.80000000000000,4
Lääne-Virumaa,26.2,59.10000000000000,5
Lääne-Virumaa,26.2,59.400000000000000,5
Ocean,26.2,59.70000000000000,-1
Võrumaa,26.7,57.6,15
Võrumaa,26.7,57.9,15
Tartumaa,26.7,58.2,11
Tartumaa,26.7,58.50000000000000,11
Jõgevamaa,26.7,58.80000000000000,4
Lääne-Virumaa,26.7,59.10000000000000,5
Lääne-Virumaa,26.7,59.400000000000000,5
Ocean,26.7,59.70000000000000,-1
Võrumaa,27.2,57.6,15
Võrumaa,27.2,57.9,15
Põlvamaa,27.2,58.2,8
Tartumaa,27.2,58.50000000000000,11
Ocean,27.2,58.80000000000000,-1
Ida-Virumaa,27.2,59.10000000000000,2
Ida-Virumaa,27.2,59.400000000000000,2
Ocean,27.2,59.70000000000000,-1
Ocean,27.7,57.6,-1
Võrumaa,27.7,57.9,15
Ocean,27.7,58.2,-1
Ocean,27.7,58.50000000000000,-1
Ocean,27.7,58.80000000000000,-1
Ida-Virumaa,27.7,59.10000000000000,2
Ida-Virumaa,27.7,59.400000000000000,2
Ocean,27.7,59.70000000000000,-1
Ocean,28.2,57.6,-1
Ocean,28.2,57.9,-1
Ocean,28.2,58.2,-1
Ocean,28.2,58.50000000000000,-1
Ocean,28.2,58.80000000000000,-1
Ocean,28.2,59.10000000000000,-1
Ocean,28.2,59.400000000000000,-1
Ocean,28.2,59.70000000000000,-1
